farmer_id,retailer_id,product,price,location,rating,quantity_available
1,101,Potatoes,1.25,"36.54,-108.5423",3.8,455
2,102,Onions,1.56,"34.0403,-114.9312",4.2,379
3,103,Onions,1.58,"37.0078,-108.5199",4.9,269
4,104,Carrots,1.75,"38.9442,-113.6657",4.9,349
5,105,Carrots,1.41,"35.9232,-77.9449",4.6,182
6,106,Tomatoes,2.95,"38.037,-75.6293",4.4,133
7,107,Tomatoes,1.35,"32.377,-118.0596",4.9,453
8,108,Onions,2.57,"35.6536,-93.1166",4.2,291
9,109,Onions,2.17,"39.2918,-74.9381",5.0,354
10,110,Potatoes,0.89,"32.2516,-89.575",3.6,145
11,111,Carrots,1.36,"38.1495,-81.9403",4.4,384
12,112,Potatoes,1.55,"35.1721,-94.138",3.8,375
13,113,Carrots,2.19,"32.1488,-80.9759",4.8,303
14,114,Onions,2.45,"34.9026,-91.6051",4.0,269
15,115,Tomatoes,2.56,"38.6519,-85.7598",4.1,266
16,116,Potatoes,1.63,"36.8922,-102.3683",3.8,338
17,117,Tomatoes,1.79,"38.8173,-113.0513",4.6,285
18,118,Carrots,1.34,"32.1261,-80.4999",4.8,172
19,119,Tomatoes,1.9,"33.4332,-76.7257",4.3,428
20,120,Potatoes,2.8,"40.8885,-89.0837",4.5,249
21,121,Onions,2.93,"40.7219,-117.5782",4.7,180
22,122,Tomatoes,1.81,"32.0594,-97.7043",4.1,497
23,123,Tomatoes,2.98,"39.9809,-93.3972",4.3,171
24,124,Potatoes,1.47,"34.497,-84.0386",4.7,357
25,125,Potatoes,2.46,"41.2334,-85.4657",4.8,381
26,126,Carrots,1.46,"35.5524,-77.4981",3.6,317
27,127,Tomatoes,2.47,"35.1037,-107.5888",3.9,331
28,128,Potatoes,2.13,"40.1884,-97.472",4.0,135
29,129,Carrots,1.05,"33.9102,-89.7064",4.0,321
30,130,Onions,2.94,"32.9927,-90.797",5.0,271
31,131,Onions,2.1,"33.2387,-109.9182",4.4,200
32,132,Onions,1.23,"32.9004,-118.7765",4.8,409
33,133,Potatoes,1.75,"37.911,-120.2003",3.6,344
34,134,Potatoes,2.13,"41.4455,-95.2551",4.9,149
35,135,Carrots,2.37,"35.4269,-101.9225",4.8,466
36,136,Tomatoes,1.22,"41.6071,-84.8704",4.4,263
37,137,Onions,1.09,"41.0561,-103.1717",3.8,138
38,138,Tomatoes,2.2,"39.4052,-78.9471",4.3,158
39,139,Carrots,1.42,"32.2382,-93.2815",4.9,386
40,140,Onions,2.57,"34.0174,-84.1954",4.2,338
41,141,Potatoes,2.08,"38.8373,-101.4752",4.1,283
42,142,Carrots,2.32,"38.5079,-75.6276",3.6,475
43,143,Carrots,2.77,"41.4884,-105.1373",4.7,370
44,144,Carrots,1.5,"36.5832,-88.2535",4.6,225
45,145,Onions,2.8,"39.1963,-85.8051",4.8,418
46,146,Tomatoes,1.62,"35.1017,-74.0304",4.4,231
47,147,Onions,2.42,"39.6722,-81.8862",3.6,420
48,148,Tomatoes,2.18,"35.4954,-87.3896",4.3,280
49,149,Tomatoes,1.87,"32.3503,-92.9426",3.6,115
50,150,Onions,2.29,"38.4104,-118.4504",4.6,264
51,151,Onions,1.73,"41.0907,-90.7574",3.8,333
52,152,Potatoes,1.78,"35.6734,-79.897",4.2,410
53,153,Onions,0.99,"40.8684,-103.1591",4.0,470
54,154,Tomatoes,2.14,"34.7192,-88.0291",4.1,452
55,155,Potatoes,1.11,"38.1382,-117.8043",4.4,228
56,156,Potatoes,2.5,"38.0979,-78.7318",4.3,383
57,157,Carrots,2.61,"38.0829,-93.3863",4.7,317
58,158,Tomatoes,0.94,"39.8597,-110.8403",3.8,497
59,159,Carrots,0.91,"32.3647,-105.8334",4.1,341
60,160,Onions,2.79,"39.9697,-98.0349",3.7,303
61,161,Carrots,1.79,"39.4991,-101.118",3.6,492
62,162,Onions,1.57,"33.9828,-81.8461",5.0,377
63,163,Potatoes,1.99,"33.1983,-121.7903",4.0,194
64,164,Potatoes,1.58,"34.4613,-81.8344",3.8,207
65,165,Carrots,2.71,"39.4959,-103.2966",4.0,231
66,166,Carrots,2.54,"37.0583,-75.1789",3.6,127
67,167,Carrots,1.49,"33.3583,-75.8959",3.9,414
68,168,Potatoes,2.42,"41.4804,-111.9402",4.7,247
69,169,Carrots,1.53,"34.4826,-113.4302",5.0,429
70,170,Tomatoes,1.6,"33.8529,-106.5772",4.1,477
71,171,Tomatoes,2.24,"39.2011,-80.8609",4.7,488
72,172,Onions,0.99,"33.8462,-108.4659",3.9,404
73,173,Onions,2.21,"34.1897,-102.9137",3.5,411
74,174,Tomatoes,2.64,"33.0476,-113.5935",4.9,315
75,175,Onions,0.82,"39.9346,-121.0761",4.1,224
76,176,Onions,2.93,"33.8027,-121.827",4.1,349
77,177,Potatoes,1.58,"38.3775,-120.6",4.7,222
78,178,Carrots,2.67,"36.775,-86.2996",4.7,210
79,179,Onions,1.94,"36.4873,-92.6053",3.6,310
80,180,Carrots,1.35,"35.4279,-86.1695",4.6,115
81,181,Tomatoes,2.03,"38.985,-87.805",4.5,492
82,182,Tomatoes,0.84,"39.4082,-105.0851",3.7,387
83,183,Onions,1.78,"37.5448,-76.0365",4.1,438
84,184,Tomatoes,1.48,"40.6377,-77.604",3.7,259
85,185,Tomatoes,0.83,"35.3117,-92.9467",3.7,481
86,186,Tomatoes,0.85,"36.2917,-87.4427",4.6,119
87,187,Onions,0.81,"32.9286,-101.759",4.5,163
88,188,Tomatoes,2.39,"39.6855,-113.9505",4.1,109
89,189,Tomatoes,1.32,"41.958,-100.583",3.6,272
90,190,Tomatoes,2.46,"36.434,-84.0001",4.3,312
91,191,Potatoes,1.62,"35.7903,-114.0759",4.2,342
92,192,Onions,1.37,"37.5516,-103.2542",5.0,454
93,193,Potatoes,1.14,"39.0514,-88.8271",3.8,354
94,194,Onions,2.05,"32.8675,-74.9823",4.9,443
95,195,Tomatoes,2.13,"37.9985,-81.816",4.8,350
96,196,Carrots,2.62,"39.1003,-108.3801",4.4,312
97,197,Onions,2.13,"38.2344,-97.8524",4.3,422
98,198,Onions,1.52,"39.1914,-89.6876",4.7,455
99,199,Onions,1.58,"37.6655,-79.7979",3.6,397
100,200,Potatoes,1.97,"41.4961,-120.4451",4.1,377
